Interview_ID,Segment_ID,District,Speaker_Role,Code,CSEL_Pillar,CERI_Tier,Severity (0–3),Auto_Classifier_Similarity_Score,Quote (original),Quote (translated)
P02,41.0,Alwar,P02,Health,Climate Impacts,Exposure,2,0.145,Toh uske dauran hum baat kar rahe the toh bahut saari mahilaon ne bataya ki vahan pe paani khara aata hai jiski vajah se bachchon ke daant peele ho jaate hain — toh bachche bahut chhoti umr mein muskurana avoid karne lag jaate hain. Thinking that people will make fun of them.,"So during that, we were talking and many women told us that the water there is brackish because of which children's teeth become yellow — so children at a very young age start avoiding smiling. Thinking that people will make fun of them."
P02,42.0,Alwar,P02,Health,Climate Impacts,Exposure,3,0.231,Vahan pe mahilaen — purush dono hi bahut kamjor hain zyada. Matlab jab aap 50-55 cross kar jaate ho — vahan pe buzurg hafte mein ek baar nahaate hain. Paani itna kha raha hai ki jis din nahaate hain us din poore sharir mein dard hota hai aur khujli hoti hai. Aur haddiyan kamjor hain — saare buzurgon ke aap dekhenge pair aise tirche hain.,"There — both women and men are very weak. Meaning when you cross 50–55 — the elderly there bathe once a week. The water is so corrosive that on the day they bathe, their entire body aches and itches. And bones are weak — you will see all the elderly's legs are bent and crooked."
P02,43.0,Alwar,P02,Health,Climate Impacts,Exposure,1,-0.029,"Aur mahilaen — mujhe ek din hansi aayi — hamara ek survey tha uss din mera. Main gayi toh main ek mahila ko dhundh rahi thi — toh usne kaha ki vahan ek khat padi thi, khat pe ek chadar padi thi. Toh main uss ghar ke aage se kam se kam chhah se saat baar nikli. Aur phir thodi der baad maine ek uncle se puchha — maine kaha aaj masa nahi dikhai de rahe. Bole haan, vo so rahe hain. Maine kaha kahan so rahe hain — andar toh main gayi thi, andar nahi dikhi. Bole aapke peeche hai na — vo mahila aisi ho ke so rahi thi aur mujhe laga ki vo chadar padi hai koi.","And women — I laughed one day — we had a survey that day. I went and was looking for a woman — someone said there is a cot there with a sheet on it. And I passed in front of that house at least six to seven times. Then after a while I asked an uncle: I haven't seen the masa (auntie) today. He said yes, she is sleeping. I asked where is she sleeping — I had gone inside, didn't see her inside. He said: she is behind you — that woman was lying curled up like that and I had thought it was just a sheet lying there."
P02,44.0,Alwar,P02,Health,Climate Impacts,Exposure,3,0.077,"Vo itne se ho gaye hain — unki bodies vo fold ho jaate hain ekdam aise — kyunki with time unke bones, unki haddiyan itni zyada kamjor ho gayi hain. Aur unhen budhapa bahut jaldi aa jaata hai. Ye badi dikkat hai. Kyunki males ka phir bhi movement hota hai — mahilaen sirf ghar ghar mein rehti hain.",They have become so small — their bodies fold up completely — because over time their bones have become so weak. And old age comes to them very fast. This is a big problem. Because men at least have movement — women just stay within the house.
P02,45.0,Alwar,P02,Health,Climate Impacts,Exposure,2,0.267,"Toh ye phir — when I ask them ki agar aapke sharir mein dikkat hai toh aap doctor ko kyon nahi dikhate — and she said ki dekho, par 30 tak toh humein khalta hai kyunki 21-22 saal ki shaadi karke aate hain toh dusre ghar se aate hain toh yahan ka paani khara lagta hai. So chhah saat saal tak toh hum bolte hain. Kyunki mehsoos hota hai. Uske baad mein normalize ho jaate hain. Uske baad mein vo bhul jaate hain ki normal kya tha. This is that — this becomes their new normal.","So then — when I ask them: if there is a problem in your body why don't you see a doctor — and she said: look, till 30 we notice it because we come from another home after marriage at 21–22 and here the water tastes brackish. So for six to seven years we say something. Because we feel it. After that we normalize. After that they forget what normal was. This is that — this becomes their new normal."
P02,51.0,Alwar,P02,Water scarcity/rainfall change,Climate Impacts,Hazard,1,0.287,That's it. Every aspect like — mera pashu swasth hai — se leke domestic violence aur bahut saari aisi cheezen jo mental health. Paani aa gaya isliye mental health theek ho gayi hai. So people are not able to connect. But jab hum paani ki baat karte hain — ye pura ek chakra hai. Aur paani mool hai har cheez ka. Vo center mein baitha hai — aur vo dikhai nahi deta — lekin vo har cheez mein hissa hai.,That's it. Every aspect — from: my livestock is healthy — to domestic violence and many things like mental health. Water came so mental health improved. People are not able to connect these. But when we talk about water — it is a complete cycle. And water is the root of everything. It sits at the center — and it is invisible — but it is part of everything.
P02,53.0,Alwar,P02,Gendered labour inequity,Livelihood Changes,Vulnerability,2,0.24,"Paani leke vapas aati hai, uske ghor vapas aa jaate hain, phir vo paani peene pilaane mein lag jaati hai, aur shaam ke khane mein aur sab kuchh lag jaati hai — aur by the time vo un sab se free ho ke usko shaam ka paani laane ka time hota hai, tab tak late ho jaata hai. Toh jab late ho jaata hai toh husband vapas aa jaata hai. Aur jab husband vapas aate hain, vo thake haare aate hain. Aur unhen wife bhi kehti hai — kyunki ab vo bhi thak chuki hai, usne bhi kaam kiya — toh vo yeh kehti hai ki aap paani le aao.","She comes back with water, the livestock return, then she is occupied with giving everyone water to drink, and in the evening meal and everything — and by the time she is free from all that and it is time for her to go for evening water, it is already late. So when it is late the husband has come back. And when the husband comes back, he comes back tired and exhausted. And the wife also says — because she is also tired now, she has also worked — so she says: you please bring water."
P02,54.0,Alwar,P02,Gendered labour inequity,Livelihood Changes,Vulnerability,2,0.191,"Toh vo jab glass matke mein daalta hai aur matka khali hota hai toh use gussa aata hai. Vo kehti hai ki paani laane ka samay nahi mila — aur sab jawab ek hi hai ki 'pure din padhe-padhe kiya tha?' Hai na? Aur vo uska maanna — matlab — vo aadmi itna frustrate ho jaata hai kyunki vo thaka hua hai. Mahila ki thakan nazar nahi aa rahi hai. Purush thaka hua hai, vo itna frustrate ho jaata hai ki vo haath uthata hai ya uske bas mein jo bhi hai — vo bartan phenk ta hai, vo jo sab kuchh karta hai.","So when he tries to pour water into the glass from the pot and the pot is empty, he gets angry. She says: I didn't get time to bring water — and the only response is: 'What were you doing all day sitting around?' Right? And he believes it — meaning — that man is so frustrated because he is tired. The woman's exhaustion is not visible. The man is tired, he gets so frustrated that he raises his hand or does whatever is in his power — he throws utensils, he does all of that."
P03,134.0,"Jaisinghpura, Jaipur Rural",TBS Field Worker,Institutional / protection gap,Community Risks,Vulnerability,2,0.055,"Aaj usmein vishesh jo problem hai dikkat Ram Swaroop ji keh rahe hain. Problem hai ki dekhiye, jab sarkar aankde karti hai toh kehti hai ki 'hum itne hazaar karod kisanon ko beej ke liye itne arab rupaye baante hain.' Aap ek per vyakti nikaal ke dekhiye bata dijiye. Zyada se zyada hoga ek do sau rupaye per kisan ko. Aur per kisan ko aur kitna — ek gaon ko kitna divide karte hain — ek hazaar rupaye — aur ek hazaar rupaye is gaon mein kitne kisan honge? Toh ek thaili pandrah logon ke liye hoga. 10 logon, 15 logon ke liye — bas. Haan bas — yeh hamara aankara kya jaata hai ki humne kisaanon ko itne arab rupaye bhi de diya. Bas bhai baat — achha — ek vyakti ke liye kitna aapne bheja paisa? Toh vo problem ye hai.","Today the specific problem Ram Swaroop ji is talking about — the problem is: look, when the government gives statistics it says 'we distribute this many thousand crore rupees for seeds to this many lakh farmers.' You calculate per person and tell me. At most it would be one to two hundred rupees per farmer. And per farmer — how much is divided for one village — a thousand rupees — and in a thousand rupees how many farmers are in this village? So one bag will be for fifteen people. For 10 people, 15 people — that's it. Yes that's it — and what figure goes out from us: 'we distributed this many billion rupees to farmers.' That's it brother — good — but how much money per person did you send? That is the problem."
P02,61.0,Alwar,P02,Successful Intervention,Adaptation,None,2,0.071,"Ki tu number likh rahi hai — matlab abhi hum baat kar rahe the na ki number toh ho jaate hain par vo vo stories pe hum nahi dhyan dete. And she — itna gyan kisi ko kaise ho sakta hai? Mujhe bahut chhota mehsoos hua. I felt like — is mahila ko pata hai, ye mujhe itne saal se jaanti hai, ye TBS ko itne saal se jaanti hai. Ye mujhse pehle TBS ko jaanti hai — jab se maine jaana, usse pehle se — aur use pata hai ki main vo miss kar rahi hun jo sabse important hai.","You are writing numbers — meaning, right now we were talking about: numbers happen, but we don't pay attention to those stories. And her — how can anyone have so much wisdom? I felt very small. I felt like — this woman knows, she has known me for years, she has known TBS for years. She knew TBS before I knew it — and she knows that I am missing what is most important."
P02,62.0,Alwar,P02,Community adaptation practice,Adaptation,None,0,0.156,"Aur I main bolti hun na — main har baar jab field pe jaati hun na, toh mujhe koi na koi aisa mil jaata hai jo itna kuch sikha ke jaata hai. Kai baar toh life lessons mil jaate hain. It is one of the life lessons for me ki ek mahila ko kitna gyan hai — matlab uski koi seema hi nahi hai. Ye jaante hain — ya sochte hain ki hum kyunki school gaye the toh jo school gaye the so called education, humein pata hai. Par uss mahila ne meri aankhen khol di.","And I say — every time I go to the field, I find someone who teaches me so much before they leave. Many times I get life lessons. It is one of the life lessons for me — how much wisdom a woman has — there is simply no limit to it. We think — or think that because we went to school, the so-called education that those who went to school have, we know. But that woman opened my eyes."
P03,174.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Informal/unsafe labour entry,Livelihood Changes,Vulnerability,2,0.273,"Vahi badha wala system chhe. Haan. Koi toh kachro bin wala chhe, koi bhi aisa mein sab wala chhe.","That is the same old (inequality) system. Yes. Someone is the one who picks garbage, someone has everything."
P02,66.0,Alwar,P02,Water scarcity/rainfall change,Climate Impacts,Hazard,2,0.239,"Ab bachchon ke nahane dhone, ghar mein paani aane ka bachchon ke concentration badhne se kya kya connection hai? The connection is ki uske ghar pe paani hai, toh ab uski maan ko bahar nahi jaana pad raha. Toh maan ko dikh raha hai ki are yaar mera bachcha ganda hai — toh main use nila dhula ke — ab vo jo bachcha pehle uske paas mein koi nahi baithta tha kyunki teri mein se badbu aati hai — ab log uske paas mein baithte hain. Vo aage baithta hai — pehle vo peeche baithta tha sabse alag kyunki use sharam aati thi ki main ganda hoon, mere mein se badbu aati hai. Vo aage baithta hai, vo dhyan deta hai, usko sunai deta hai sab kuch jo teacher bol raha hota hai. He is interested.","Now, the washing of children and water coming home to children's concentration improving — what is the connection? The connection is: there is water at home, so now the mother doesn't have to go outside. So the mother sees: my child is dirty — so she cleans and washes the child — now that child, earlier nobody would sit near him because he smelled — now people sit near him. He sits in the front — earlier he sat at the back, separate from everyone, because he was ashamed: I am dirty, I smell. He sits in front, he pays attention, he can hear everything the teacher says. He is interested."
P02,67.0,Alwar,P02,Child wellbeing & vulnerability,Impact on Children,Vulnerability,3,0.259,"Bachchiyan school jaane lagi hain kyunki ghar mein paani hai — us bachchi ko school skip karne ki zaroorat nahi hai, bachchiyan school ja rahi hain, apni padhai puri kar rahi hain. Bachchiyon ki jaldi shaadi hoti thi kyunki bahut early age mein vo paani bharne ke liye schools chhod dete the. Aur phir ek point aata tha ki — kyunki padhai toh kar nahi rahi — jab bachchiyan kehti hain ki 'padhai hamare liye jaldi shaadi na ho jaane ka ek zariya hai jisse main maan-baap ko rok sakti hoon.' Agar log samajhdar hain, agar maan-baap samajhdar hain, toh vo apne maan-baap ko rok sakti hain ki mujhe jaldi shaadi nahi karni. Nahi toh unhen sirf vo umr dikhai deti hai — 16 saal ki ho gayi, 13 saal ki ho gayi, 14 saal ki ho gayi.","Girls have started going to school because there is water at home — that girl doesn't need to skip school, girls are going to school, completing their studies. Girls were getting married early because from a very young age they would drop out of school to fetch water. And then there came a point — because she is not studying — when girls say: 'education for us is a means to prevent early marriage — it is a way with which I can stop my parents.' If the parents are wise, they can be stopped: I don't want to get married early. Otherwise they only see that age — she is 16 now, she is 13, she is 14."
P02,68.0,Alwar,P02,Child wellbeing & vulnerability,Impact on Children,Vulnerability,2,0.166,"Jab jo bachchiyan ghar baithi hain, lekin jo school ja rahi hain, jo padhai likhai kar rahi hain — unka dimaag umr pe nahi jaata, unka dhyan class pe hota hai. Dasvi ho gayi, gyarvi ho gayi, barvi ho gayi — ab bachchi college jaayegi, and they feel proud. Aur ye hota hai ki meri jaise — abhi main gayi toh ek mahila ne bola ki meri bachchi gaon mein sabse zyada padhi-likhi bachchi hai. She was proud — and otherwise hota ye ki 'are gaon mein sabse badi bachchi hai jiski shaadi nahi hui ab tak.' Toh vahi proud vahi unke sharm mein badal jaata hai ki 'yaar teri beti itni badi ho gayi abhi tak teri shaadi nahi hui.' So this is what happened.","The girls who are sitting at home — but those who are going to school, who are studying — their mind doesn't go to age, their attention is on the class. Tenth done, eleventh done, twelfth done — now the girl will go to college, and they feel proud. And this happens like — just now when I went, one woman said: my daughter is the most educated girl in the village. She was proud — and otherwise what would happen is: 'oh, she is the oldest girl in the village and not yet married.' So that same pride would turn into their shame: 'your daughter has grown so big and still not married.' So this is what happened."
P02,69.0,Alwar,P02,Child wellbeing & vulnerability,Impact on Children,Vulnerability,0,0.284,"Isski vajah se jaise vo amma ne bola na — so now if I connect — ki ab vo apne bachchon ko school nila dhula ke bhejti hai, ab vo din mein rest karti hai. Uss rest ke baad mein — she is not stressed out, vo thaki hui nahi hai. Toh jab uske bachche ghar aate hain, toh jab vo unhen khana khila rahi hoti hai, toh vo khush hain. Toh vo khush hai toh vo unse unke bare mein puchhegi. Vo bachche jo bol rahe hain vo uss pe gussa nahi hogi — vo ek healthy relation banati hai apne bachchon ke saath mein.","Because of this, as that amma said — so now if I connect — now she sends her children to school washed and clean, now she rests during the day. After that rest — she is not stressed out, she is not exhausted. So when her children come home, when she is feeding them, they are happy. So she is happy, so she will ask them about themselves. She will not get angry at what the children say — she builds a healthy relationship with her children."
P02,70.0,Alwar,P02,Water scarcity/rainfall change,Climate Impacts,Hazard,0,0.187,"Vo nahi humein dikhai deta. Hum use paani se connect nahi karte. Par jab maan aur bachche achchhe se baat karte hain, ek healthy communication hota hai — bachche apni baatein share karte hain apne maata-pita ke saamne. Wives ki lives easy ho jaati hain. Husband wife ke relations achchhe ho jaate hain.","This is not visible to us. We don't connect it with water. But when mother and children communicate well, there is healthy communication — children share their things with their parents. Wives' lives become easier. Husband-wife relations improve."
P02,71.0,Alwar,P02,Child wellbeing & vulnerability,Impact on Children,Vulnerability,2,0.357,"Jab bachchon pe mata-pita ka dhyan nahi rehta toh bachche apne — de want someone to spend time with — spend more time with kids of the same age. Aur usually jo bachche school nahi ja rahe hote, unhen 24/7 pata hai ki ye school nahi jaata toh ye toh mil hi jaata hai. In conversation leads the child to bahut usual — words use karna, language — internet ka access aajkal sabke paas hai. Toh jin logon ke ghar pe paani tanka bana, un gharon ke bachchon ki bhasha mein badlav dekha gaya.","When parents don't pay attention to children, the children want someone to spend time with — they spend more time with kids of the same age. And usually the children who are not going to school, they know 24/7 that this kid doesn't go to school, so this one is always available. This conversation leads the child toward using very usual bad words, bad language — internet access everyone has nowadays. So in the homes where a water tanka was built, a change was noticed in the language of the children of those houses."
P03,66.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Water scarcity/rainfall change,Climate Impacts,Hazard,1,0.213,Nahi ole ole dhundh pade aapne toh.,"No, we got fog and hailstones — you did get those then."
P03,103.0,"Jaisinghpura, Jaipur Rural",Ram Swaroop ji,Water scarcity/rainfall change,Climate Impacts,Hazard,3,0.292,Unke paas kaiyon ke jo karte the unke paas ho gaya khatam — aaj unki boring bhi nahi hai.,Those who used to do this — their water got finished — today they don't even have a borewell.
P03,77.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Livelihood,Livelihood Changes,Exposure,2,0.052,Aata si baisa hoon toh kahala do kilo doodh de rahe ho toh bas ek sau bees ko doodh deko. Ek sau bees bade malle se maan. Ek sau bees mein dhoop mein aa jaaye. Ek sau bees ko do kilo doodh dete hain. Raat mein phir aange jaaye jaaye. Saath din mein na do baje toh dhoop mein aa jaaye vahan se phir.,"When I used to come to sit, they'd say — you give two kilos of milk — so just look at 120 (rupees) for milk. 120 is considered a big amount there. For 120 you come out in the heat. For 120 we give two kilos of milk. At night they'd go and go again. In seven days — by two o'clock — you'd have to come back out into the heat from there again."
P03,78.0,"Jaisinghpura, Jaipur Rural",Interviewer,Child wellbeing & vulnerability,Impact on Children,Vulnerability,1,0.274,Gaon mein toh vahan kabhi aisa hua ki bachchon ki padhai chhudwani padi?,In the village — did it ever happen that the children's studies had to be stopped?
P03,79.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Child wellbeing & vulnerability,Impact on Children,Vulnerability,1,0.081,Nahi nahi aisi lo pato nahi de. Nahi toh dekho ma'am sarkari mein phataaya. Thaan bataun.,"No no, nothing like that. No — look ma'am we got them educated in government schools. Let me tell you."
P03,80.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Child wellbeing & vulnerability,Impact on Children,Vulnerability,1,0.211,Suru suru regular jab laga toh private mein padhaya ja. Chahe apan aaj na lagi na fees toh jaal do mahine baad fees de diya ja ne. Hun. Pade aati nau pat khona hai bhai.,"Right from the start, regularly when it could be arranged, we sent them to private school. Even if we couldn't manage today, we'd give the fees two months later. Yes. Education has to come brother, or you'll be ruined."
P03,86.0,"Jaisinghpura, Jaipur Rural",Sita ji / Saroj ji,Economic and Financial Stress,Economic Conditions,Vulnerability,2,0.287,Bachche phataayegi pe shaadi gaddiya laag lagaayegi.,Had to educate the children and had to bear the expenses of weddings too.
